Unnamed: 0.1,Unnamed: 0,state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,Degree Farenheit
0,0,Alabama,2016,1,0.109189414,32.7794,-86.8287,0.0005,0.006333333,,0.323,,43
1,1,Alabama,2016,10,0.102739726,32.7794,-86.8287,0.323,,1081.081081,534.787381,734.407,67.6
2,2,Alabama,2016,11,0.107755102,32.7794,-86.8287,,,850,721.0371774,2.43875,66.7
3,3,Alabama,2016,12,0.106042174,32.7794,-86.8287,,1304.347826,493.6539423,728.2510909,,65.3
4,4,Alabama,2016,2,0.088478676,32.7794,-86.8287,0.0005,0.006333333,0.323,,,46.4
5,5,Alabama,2016,3,0.103569946,32.7794,-86.8287,0.006333333,,0.323,,1304.347826,50.8
6,6,Alabama,2016,4,0.104738707,32.7794,-86.8287,0.006333333,,0.323,,1081.081081,54
7,7,Alabama,2016,5,0.1028798,32.7794,-86.8287,0.006333333,0.323,,,850,57.3
8,8,Alabama,2016,6,0.105179599,32.7794,-86.8287,,0.323,,1304.347826,493.6539423,60.9
9,9,Alabama,2016,7,0.107227959,32.7794,-86.8287,,0.323,,1081.081081,534.787381,63.9
10,10,Alabama,2016,8,0.098326753,32.7794,-86.8287,0.323,,,850,721.0371774,66.1
11,11,Alabama,2016,9,0.101701396,32.7794,-86.8287,0.323,,1304.347826,493.6539423,728.2510909,67.5
12,12,Alabama,2017,1,0.1003861,32.7794,-86.8287,,1081.081081,534.787381,734.407,400.8,52.4
13,13,Alabama,2017,10,0.106555754,32.7794,-86.8287,734.407,400.8,926.5731343,,,67.8
14,14,Alabama,2017,11,0.114199396,32.7794,-86.8287,2.43875,334.1738095,1161.302,,,66.7
15,15,Alabama,2017,12,0.103582395,32.7794,-86.8287,,607.1893939,1231.765385,,,65
16,16,Alabama,2017,2,0.091920766,32.7794,-86.8287,,850,721.0371774,2.43875,334.1738095,54
17,17,Alabama,2017,3,0.099416424,32.7794,-86.8287,1304.347826,493.6539423,728.2510909,,607.1893939,55.5
18,18,Alabama,2017,4,0.09543379,32.7794,-86.8287,1081.081081,534.787381,734.407,400.8,926.5731343,58.4
19,19,Alabama,2017,5,0.100357669,32.7794,-86.8287,850,721.0371774,2.43875,334.1738095,1161.302,60.7
20,20,Alabama,2017,6,0.093574548,32.7794,-86.8287,493.6539423,728.2510909,,607.1893939,1231.765385,63.2
21,21,Alabama,2017,7,0.106463125,32.7794,-86.8287,534.787381,734.407,400.8,926.5731343,,65.7
22,22,Alabama,2017,8,0.104634323,32.7794,-86.8287,721.0371774,2.43875,334.1738095,1161.302,,67.3
23,23,Alabama,2017,9,0.104090647,32.7794,-86.8287,728.2510909,,607.1893939,1231.765385,,68
24,24,Alabama,2018,1,0.110679214,32.7794,-86.8287,400.8,926.5731343,,,,40.4
25,25,Alabama,2018,10,0.108821764,32.7794,-86.8287,,,,,,67.4
26,26,Alabama,2018,11,0.112382934,32.7794,-86.8287,,,,,,65.9
27,27,Alabama,2018,12,0.11763519,32.7794,-86.8287,,,,,,64.5
28,28,Alabama,2018,2,0.105857934,32.7794,-86.8287,334.1738095,1161.302,,,,49.2
29,29,Alabama,2018,3,0.095348348,32.7794,-86.8287,607.1893939,1231.765385,,,,51.3
30,30,Alabama,2018,4,0.109769984,32.7794,-86.8287,926.5731343,,,,,53.3
31,31,Alabama,2018,5,0.106970902,32.7794,-86.8287,1161.302,,,,,57.5
32,32,Alabama,2018,6,0.100231141,32.7794,-86.8287,1231.765385,,,,,61.2
33,33,Alabama,2018,7,0.112147637,32.7794,-86.8287,,,,,,64
34,34,Alabama,2018,8,0.098117513,32.7794,-86.8287,,,,,,65.9
35,35,Alabama,2018,9,0.10058309,32.7794,-86.8287,,,,,,67.4
36,36,Alabama,2019,1,0.107419932,32.7794,-86.8287,,,,,,46.5
37,37,Alabama,2019,10,0.107266436,32.7794,-86.8287,,,,,,68.3
38,38,Alabama,2019,11,0.111647429,32.7794,-86.8287,,,,,,66.7
39,39,Alabama,2019,12,0.102257115,32.7794,-86.8287,,,,,,65.4
40,40,Alabama,2019,2,0.100637523,32.7794,-86.8287,,,,,,51.3
41,41,Alabama,2019,3,0.097657976,32.7794,-86.8287,,,,,,52.5
42,42,Alabama,2019,4,0.09512249,32.7794,-86.8287,,,,,,55.3
43,43,Alabama,2019,5,0.105482593,32.7794,-86.8287,,,,,,59.1
44,44,Alabama,2019,6,0.114643977,32.7794,-86.8287,,,,,,62.2
45,45,Alabama,2019,7,0.10219411,32.7794,-86.8287,,,,,,64.9
46,46,Alabama,2019,8,0.107280396,32.7794,-86.8287,,,,,,66.8
47,47,Alabama,2019,9,0.103388857,32.7794,-86.8287,,,,,,68.3
48,48,Alabama,2020,1,0.102470636,32.7794,-86.8287,,,,,,49.5
49,49,Alabama,2020,10,0.110249424,32.7794,-86.8287,,,,,,67.4
50,50,Alabama,2020,11,0.107733572,32.7794,-86.8287,,,,,,66.6
51,51,Alabama,2020,12,0.109952994,32.7794,-86.8287,,,,,,64.9
52,52,Alabama,2020,2,0.109734114,32.7794,-86.8287,,,,,,50.3
53,53,Alabama,2020,3,0.100923206,32.7794,-86.8287,,,,,,54.7
54,54,Alabama,2020,4,0.109039052,32.7794,-86.8287,,,,,,56.5
55,55,Alabama,2020,5,0.102472711,32.7794,-86.8287,,,,,,59
56,56,Alabama,2020,6,0.113731219,32.7794,-86.8287,,,,,,62
57,57,Alabama,2020,7,0.111303013,32.7794,-86.8287,,,,,,64.7
58,58,Alabama,2020,8,0.100096432,32.7794,-86.8287,,,,,,66.6
59,59,Alabama,2020,9,0.106255012,32.7794,-86.8287,,,,,,67.5
